,Labour,"accuracy% point proximity to final result
",Conservative,% point proximity to final result,Lib Dems (Liberal/SDP in '87),% point proximity to final result,average accuracy,Other,Poll Date,Source
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2001 Election,,,,,,,,,,
,,,,,,,,,,
1 Year,41,-1,38,5.3,16,-2.8,3.03,5,8-9 June 2000,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=2451&view=wide
6 Months,46,4,34,1.3,14,-4.8,3.37,6,7-12 Dec 2000,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=2451&view=wide
3 Months,50,8,30,-2.7,14,-4.8,5.17,6,15-20 Feb 2001,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=2451&view=wide
1 Month,54,12,30,-2.7,13,-5.8,6.83,3,08/05/2001,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=2451&view=wide
1 Week,48,6,30,-2.7,16,-2.8,3.83,6,29 May 2001,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=2451&view=wide
1 Day,45,3,30,-2.7,18,-0.8,2.17,7,5-6 June 2001,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=2451&view=wide
,,,,,,,,,,
AVERAGE,47.33,5,32.00,-2.7,15.17,-3.8,,,,
,,,,,,,,,,
Actual Share of Vote,42,,32.7,,18.8,,,6.5,07/06/2001,http://spreadsheets.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
Actual Number of Seats,413,,166,,52,,,10,07/06/2001,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_2001"
Actual Share of Seats,64.43%,,25.90%,,8.11%,,,1.56%,07/06/2001,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_2001"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1997 Election,,,,,,,,,,
,,,,,,,,,,
1 Year,54,9.6,29,-2.4,13,-4.2,5.40,4,"April 27, 1996",http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=2450&view=wide
6 Months,54,9.6,30,-1.4,12,-5.2,5.40,4,Oct 30 - Nov 1 '96,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=2450&view=wide
3 Months,55,10.6,30,-1.4,11,-6.2,6.07,4,24-28 Jan 1997,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=2450&view=wide
1 Month,55,10.6,28,-3.4,11,-6.2,6.73,6,1 April 1997,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=2450&view=wide
1 Week,53,8.6,29,-2.4,12,-5.2,5.40,6,April 23-24 1997,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=2450&view=wide
1 Day,48,3.6,28,-3.4,18,0.8,2.60,6,April 29-30 1997,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=2450&view=wide
,,,,,,,,,,
AVERAGE,53.17,9.6,29.00,-2.4,12.83,-5.2,,,,
,,,,,,,,,,
Actual Share of Vote,44.4,,31.4,,17.2,,,7,01/05/1997,http://spreadsheets.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
Actual Number of Seats,418,,165,,46,,,30,01/05/1997,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1997"
Actual Share of Seats,63.43%,,25.04%,,6.98%,,,4.55%,01/05/1997,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1997"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1992 Election,,,,,,,,,,
,,,,,,,,,,
1 Year,40,5,42,-1,15,2,,3,Apr 18-22 1991,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=2450&view=wide
6 Months,39,4,39,-4,17,4,,5,Sep 20-24 1991,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=2450&view=wide
3 Months,39,4,42,-1,16,3,,3,Jan 17-21 1992,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=2450&view=wide
1 Month,41,6,38,-5,16,3,,5,Mar 11-12 1992,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=2450&view=wide
1 Week,39,4,37,-6,21,8,,3,April 1-3 1992,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=2450&view=wide
1 Day,39,4,38,-5,20,7,,3,April 7-8 1992,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=2450&view=wide
,,,,,,,,,,
AVERAGE,39.50,4,39.33,-4.5,17.5,3.5,,,,
,,,,,,,,,,
Actual Share of Vote,35,,43,,13,,,4,09/04/1992,http://spreadsheets.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
Actual Number of Seats,336,,271,,20,,,24,09/04/1992,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1992"
Actual Share of Seats,51.61%,,41.63%,,3.07%,,,3.69%,09/04/1992,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1992"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1987 Election,,,,,,,,,,
,,,,,,,,,,
1 Year,40,8,34,-9,24,1,,2,20-24 June 1986,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=2449&view=wide
6 Months,38,6,39,-4,21,-2,,2,18-30 Dec 1986,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=2449&view=wide
3 Months,32,0,41,-2,25,2,,2,6-10 Mar 1987,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=2449&view=wide
1 Month,31,-1,44,1,23,0,,2,8-12 May 1987,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=2449&view=wide
1 Week,32,0,43,0,24,1,,1,3-4 June 1987,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=2449&view=wide
1 Day,32,0,44,1,22,-1,,2,9-10 June 1987,http://www.ipsos-mori.com/researchpublications/researcharchive/poll.aspx?oItemId=2449&view=wide
,,,,,,,,,,
AVERAGE,34.17,0,40.83,-1,23.17,0.5,,,,
,,,,,,,,,,
Actual Share of Vote,32,,43,,23,,,2,11/06/1987,http://spreadsheets.google.com/ccc?key=phNtm3LmDZEO8F79tf8B0fg
Actual Number of Seats,376,,229,,22,,,23,11/06/1987,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1987"
Actual Share of Seats,57.85%,,35.23%,,3.38%,,,3.54%,11/06/1987,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1987"
